013******* - Министерство на вътрешните работи,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-09-21,,,,,,,,,,,,,,,,,,,,,,,,-2497000,,-2497000
2012-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,2497000
2013-01-23,,,,,,,,,,,,,,,,,,,,,,,,-1360500,,-1360500
2013-01-24,,,,,,,,,,,,,,,,,,,,,,,,1360500,,1360500
2013-05-22,,,,,,,,,,,,,,,,,,,31880.03,,,,,,,31880.03
2013-05-28,,,,,,,,,,,,,,,,,,,-31880.03,,,,,,,-31880.03
2013-11-21,,,,,,,,,,,,,,,,,,,,,,,,-9077280,,-9077280
2013-11-22,,,,,,,,,,,,,,,,,,,,,,,,9077280,,9077280
2013-12-14,,,,,,,,,,,,,,,,,,,,,,,,-2272868,,-2272868
2013-12-16,,,,,,,,,,,,,,,,,,,,,,,,2272868,,2272868
2014-01-21,,,,,,,,,,,,,,,,,,,,,,,,-1081615,,-1081615
2014-01-22,,,,,,,,,,,,,,,,,,,,,,,,1081615,,1081615
